udi,type,air_k,process_k,rpm,torque,tool_wear,failure,split,proba,cluster,anomaly
398,L,296.2,309.4,1809.0,34.9,214,0,train,0.023,3,0
399,M,293.5,308.4,1678.0,33.2,220,0,train,0.085,2,0
400,M,298.8,308.0,1561.0,19.4,77,0,train,0.033,0,0
401,M,299.0,308.8,1319.0,52.9,19,1,train,0.754,1,1
402,M,297.6,309.1,1629.0,33.6,157,0,train,0.206,2,0
403,H,295.7,307.2,1472.0,32.0,9,0,train,0.073,2,0
404,M,298.2,307.9,1601.0,28.2,156,0,train,0.089,0,0
405,M,295.1,306.2,1386.0,38.0,95,0,train,0.094,3,0
406,M,295.9,309.1,1469.0,57.6,209,0,train,0.122,3,0
407,L,296.5,310.1,1530.0,60.9,156,0,train,0.061,2,0
408,L,299.7,308.1,1544.0,23.4,184,0,train,0.133,1,0
409,L,297.3,305.9,1589.0,36.5,101,0,train,0.19,2,0
410,L,297.1,308.6,1396.0,29.7,210,0,train,0.023,0,0
411,L,301.9,307.1,1258.0,49.9,131,0,train,0.092,2,0
412,L,298.7,307.3,1792.0,42.9,156,0,train,0.081,0,0
413,M,298.7,308.6,1948.0,33.6,90,0,train,0.063,0,0
414,L,297.3,308.3,1581.0,40.7,112,0,train,0.113,2,0
415,H,296.8,307.5,1262.0,35.2,210,0,train,0.023,2,0
416,L,293.6,307.4,1361.0,56.1,98,0,train,0.194,3,0
417,M,299.9,308.1,1592.0,45.5,5,0,train,0.069,2,0
418,L,298.9,307.6,1741.0,46.7,94,0,train,0.155,3,0
419,L,297.6,306.9,1282.0,13.3,97,0,train,0.02,3,0
420,L,297.7,307.7,1478.0,39.3,104,0,train,0.139,1,0
421,M,299.5,308.3,1535.0,60.8,17,1,train,0.632,3,1
422,L,294.9,307.8,1656.0,53.3,32,0,train,0.021,1,0
423,H,296.8,306.6,1438.0,21.5,81,1,train,0.621,2,1
424,L,295.7,309.0,1219.0,36.9,105,0,train,0.027,0,0
425,M,301.5,305.3,1612.0,28.0,7,0,train,0.019,0,0
426,L,299.8,307.6,1702.0,57.1,97,0,train,0.039,2,0
427,M,293.6,307.4,1485.0,42.4,80,0,train,0.066,1,0
428,L,295.0,308.1,1573.0,32.3,8,0,train,0.022,2,0
429,L,297.7,308.6,1415.0,40.3,62,0,train,0.077,0,0
430,L,297.1,309.1,1348.0,13.9,68,0,train,0.077,1,0
431,L,295.4,307.3,1685.0,29.2,35,0,train,0.053,2,0
432,L,301.9,308.6,1570.0,40.4,187,0,train,0.066,2,0
433,H,298.6,308.2,1588.0,48.5,18,0,train,0.02,3,0
434,L,298.9,306.3,1770.0,20.6,144,0,train,0.111,3,0
435,L,296.6,309.9,1310.0,36.2,166,0,train,0.03,3,0
436,H,299.4,306.6,1401.0,50.1,201,0,train,0.136,0,0
437,L,297.2,308.4,1528.0,25.5,136,1,train,0.644,2,1
438,L,297.4,308.4,1398.0,42.3,135,1,train,0.616,0,1
439,M,299.2,308.3,1641.0,40.7,190,0,train,0.081,1,0
440,H,294.7,307.5,1466.0,57.1,213,0,train,0.135,0,0
441,M,301.2,308.8,1321.0,37.7,52,0,train,0.041,1,0
442,L,298.4,306.4,1512.0,38.3,199,0,train,0.018,0,0
443,H,300.6,307.9,1531.0,48.5,115,0,train,0.039,2,0
444,L,295.8,307.4,1668.0,26.7,24,0,train,0.034,0,0
445,H,296.2,307.3,1571.0,37.8,153,0,train,0.136,2,0
446,H,295.7,308.4,1583.0,35.4,244,0,train,0.142,2,0
447,H,298.5,309.1,1558.0,38.6,35,0,train,0.108,0,0
448,L,298.1,307.7,1466.0,48.5,3,0,train,0.08,0,0
449,L,297.1,308.8,1371.0,45.5,229,0,train,0.062,3,0
450,M,296.0,308.0,1552.0,32.5,149,0,train,0.006,2,0
451,M,295.5,307.1,1440.0,41.4,54,0,train,0.019,1,0
452,M,297.9,307.7,1804.0,54.9,198,1,train,0.69,3,1
453,H,297.1,307.7,1742.0,31.7,98,0,train,0.029,0,0
454,M,296.6,307.3,1614.0,41.5,82,0,train,0.045,3,0
455,L,301.1,308.4,1568.0,38.1,72,0,train,0.023,0,0
456,L,297.8,308.2,1484.0,39.4,149,0,train,0.061,2,0
457,L,300.5,306.4,1273.0,23.7,33,0,train,0.037,0,0
458,L,296.9,306.3,1461.0,54.1,90,0,train,0.029,0,0
459,L,298.5,308.4,1518.0,32.3,76,0,train,0.051,1,0
460,H,297.9,307.2,1541.0,50.3,15,0,train,0.141,0,0
461,M,294.6,308.3,1585.0,33.8,190,0,train,0.095,1,0
462,M,300.9,308.8,1666.0,33.7,2,0,train,0.012,0,0
463,L,297.7,306.7,1375.0,52.1,239,0,train,0.038,0,0
464,M,299.5,306.6,1377.0,49.9,23,0,train,0.086,3,0
465,H,296.5,309.7,1761.0,42.1,89,0,train,0.09,3,0
466,H,297.7,308.4,1639.0,47.6,24,0,train,0.034,3,0
467,M,296.3,307.6,1430.0,37.1,91,1,train,0.81,0,1
468,H,300.5,307.1,1481.0,39.9,152,0,train,0.02,1,0
469,M,298.6,307.5,1482.0,33.4,21,0,train,0.067,1,0
470,L,298.7,306.8,1506.0,49.0,131,0,train,0.108,1,0
471,H,300.7,308.9,1585.0,33.1,192,0,train,0.021,1,0
472,L,300.3,307.2,1956.0,54.9,113,0,train,0.088,2,0
473,L,299.5,309.1,1534.0,36.8,28,0,train,0.05,1,0
474,L,295.2,307.6,1619.0,40.2,172,0,train,0.076,1,0
475,M,296.6,307.0,1196.0,47.6,46,0,train,0.052,3,0
476,M,296.0,307.6,1413.0,40.2,4,0,train,0.01,3,0
477,M,299.5,305.4,1721.0,37.0,109,0,train,0.102,1,0
478,L,298.3,307.9,1572.0,39.7,67,0,train,0.007,0,0
479,L,295.2,307.8,710.0,48.9,7,0,train,0.031,2,0
480,H,297.6,308.8,1621.0,33.4,194,0,train,0.088,1,0
481,L,295.0,306.1,1845.0,38.7,149,0,test,0.07,3,0
482,H,297.9,309.2,1141.0,40.1,227,0,test,0.038,1,0
483,L,294.7,308.8,1773.0,48.6,120,0,test,0.038,0,0
484,M,299.1,309.3,1001.0,39.0,109,0,test,0.051,0,0
485,M,298.8,307.9,1669.0,58.1,210,0,test,0.012,0,0
486,H,301.8,309.0,1498.0,38.4,20,0,test,0.058,1,0
487,L,299.7,306.5,1077.0,37.6,90,0,test,0.06,1,0
488,H,297.2,308.7,1580.0,38.3,199,0,test,0.001,3,0
489,M,299.6,307.2,1707.0,26.8,73,0,test,0.157,3,0
490,M,295.2,306.3,1565.0,29.6,221,0,test,0.078,0,0
491,M,296.1,306.9,1605.0,34.7,71,0,test,0.104,3,0
492,L,298.7,308.0,1426.0,51.4,103,0,test,0.035,2,0
493,L,293.7,307.2,1165.0,39.7,224,0,test,0.216,1,0
494,L,297.9,308.4,1625.0,35.2,60,0,test,0.174,1,0
495,L,296.0,306.2,1815.0,52.3,242,0,test,0.146,1,0
496,M,298.2,305.9,1703.0,55.5,10,0,test,0.062,0,0
497,L,295.8,309.4,1142.0,52.6,66,0,test,0.112,3,0
498,L,298.8,308.9,1227.0,31.5,147,1,test,0.668,0,1
499,L,298.0,307.0,1348.0,35.0,148,0,test,0.082,0,0
500,L,300.8,308.0,1213.0,58.1,227,0,test,0.012,1,0
501,L,298.0,309.0,1508.0,42.4,239,0,test,0.043,0,0
502,M,296.5,308.4,1571.0,37.3,169,0,test,0.17,0,0
503,L,297.5,308.1,1243.0,47.2,164,0,test,0.053,1,0
504,H,295.3,309.1,1640.0,50.1,79,0,test,0.029,1,0
505,L,298.8,307.3,1608.0,34.3,201,0,test,0.054,0,0
506,L,299.2,308.0,1401.0,42.2,160,0,test,0.009,3,0
507,H,302.9,308.0,1469.0,49.3,6,0,test,0.127,3,0
508,L,296.8,307.7,1149.0,28.4,208,0,test,0.109,2,0
509,L,297.5,307.6,1440.0,40.1,89,0,test,0.016,2,0
510,H,296.8,308.1,1501.0,28.9,118,0,test,0.035,3,0
511,H,298.4,308.0,1530.0,30.2,121,0,test,0.009,1,0
512,M,298.8,307.0,1568.0,34.4,204,0,test,0.105,1,0
513,L,297.9,308.8,1544.0,44.8,66,0,test,0.039,0,0
514,M,300.2,307.0,1452.0,36.8,97,0,test,0.026,2,0
515,H,296.8,307.8,1552.0,33.5,9,0,test,0.182,0,0
516,H,300.0,307.7,1680.0,40.5,87,0,test,0.077,2,0
517,L,299.1,308.4,1483.0,28.5,22,0,test,0.062,3,0
518,L,298.0,305.9,1557.0,44.3,145,0,test,0.068,0,0
519,L,297.4,308.9,1466.0,51.3,223,0,test,0.052,2,0
520,L,302.9,307.3,1384.0,39.2,116,0,test,0.056,1,0
521,M,296.4,309.2,1594.0,38.0,228,0,test,0.035,1,0
522,L,298.6,307.5,1400.0,43.7,244,0,test,0.18,2,0
523,L,296.5,308.0,1570.0,19.7,13,0,test,0.067,0,0
524,L,301.6,309.9,1505.0,45.4,129,0,test,0.038,3,0
525,L,299.8,307.7,1445.0,71.0,132,0,test,0.064,1,0
526,L,296.6,309.2,1441.0,38.8,96,0,test,0.051,1,0
527,L,299.0,308.0,1409.0,38.8,207,0,test,0.022,3,0
528,L,298.5,308.4,1204.0,47.4,98,0,test,0.121,0,0
529,H,297.0,308.1,1569.0,56.5,13,0,test,0.005,1,0
530,L,299.5,308.8,1542.0,49.7,136,0,test,0.019,3,0
531,M,298.8,307.3,1653.0,18.4,50,0,test,0.12,1,0
532,L,298.4,307.0,1404.0,45.6,88,0,test,0.132,0,0
533,L,297.9,307.4,1841.0,65.7,125,0,test,0.033,1,0
534,L,298.9,308.1,1432.0,46.2,180,0,test,0.026,3,0
535,L,298.5,307.8,1342.0,28.5,69,0,test,0.027,3,0
536,L,298.1,308.7,1321.0,42.8,95,0,test,0.057,3,0
537,L,296.7,309.3,1188.0,27.2,16,0,test,0.019,1,0
538,M,301.4,307.0,1776.0,52.3,96,0,test,0.088,3,0
539,L,295.9,307.3,1747.0,30.4,145,0,test,0.065,1,0
540,L,298.9,306.6,1608.0,40.7,154,0,test,0.059,3,0
541,M,297.4,310.0,1339.0,31.4,73,0,test,0.08,3,0
542,L,301.5,308.3,1826.0,34.5,15,0,test,0.087,0,0
543,L,296.2,308.5,1437.0,54.9,144,0,test,0.039,3,0
544,L,296.5,306.7,1452.0,41.0,163,0,test,0.084,2,0
545,L,296.1,308.0,1759.0,34.4,21,0,test,0.289,2,0
546,L,298.6,308.5,1619.0,28.5,126,0,test,0.078,3,0
547,H,295.3,307.7,1896.0,21.3,23,0,test,0.083,0,0
548,H,297.0,309.1,1545.0,27.5,113,0,test,0.059,2,0
549,H,293.7,310.3,1429.0,41.1,160,0,test,0.051,0,0
550,L,298.5,307.1,1390.0,49.8,179,0,test,0.075,1,0
551,L,297.0,307.0,1168.0,34.4,178,0,test,0.085,0,0
552,L,295.0,307.1,1450.0,55.7,189,0,test,0.013,0,0
553,L,300.2,309.6,1706.0,32.8,60,0,test,0.086,3,0
554,L,295.4,309.0,1608.0,37.6,211,0,test,0.06,1,0
555,L,299.6,307.9,1504.0,29.2,87,0,test,0.008,1,0
556,L,296.6,308.0,1321.0,49.9,93,0,test,0.013,1,0
557,L,301.2,307.2,1541.0,61.0,196,0,test,0.014,2,0
558,L,299.5,308.9,1682.0,22.4,81,0,test,0.012,2,0
559,M,296.0,307.6,1578.0,36.5,18,0,test,0.051,2,0
560,L,296.2,307.7,1530.0,52.6,178,0,test,0.105,3,0
561,H,299.2,308.6,1357.0,25.5,165,0,test,0.038,1,0
562,L,297.5,307.8,1656.0,45.7,145,0,test,0.033,3,0
563,M,297.7,307.8,936.0,52.2,35,0,test,0.017,3,0
564,L,300.5,308.0,1569.0,40.8,157,0,test,0.11,2,0
565,L,296.5,308.8,1963.0,45.5,49,0,test,0.091,0,0
566,L,298.2,309.6,1228.0,57.6,138,0,test,0.032,1,0
567,L,299.9,308.6,1457.0,59.5,126,0,test,0.018,2,0
568,M,299.6,308.8,1499.0,39.4,193,0,test,0.134,1,0
569,L,297.7,307.8,1417.0,34.7,244,0,test,0.074,1,0
570,L,297.4,307.3,1687.0,30.8,47,0,test,0.019,1,0
571,H,294.5,308.7,1585.0,49.8,28,0,test,0.065,0,0
572,L,295.9,308.2,1527.0,26.3,138,0,test,0.011,0,0
573,M,298.6,306.6,1644.0,37.5,237,0,test,0.044,3,0
574,M,297.7,307.7,1503.0,41.0,39,0,test,0.053,0,0
575,L,298.1,307.9,2072.0,35.0,121,0,test,0.052,3,0
576,L,300.1,307.5,1527.0,42.8,101,0,test,0.154,1,0
577,L,295.6,309.5,1535.0,65.6,79,0,test,0.065,3,0
578,M,297.5,308.5,1192.0,38.8,165,0,test,0.045,1,0
579,L,298.4,309.4,1402.0,35.6,73,0,test,0.027,3,0
580,L,296.6,308.3,1707.0,50.2,123,0,test,0.033,2,0
581,L,300.9,308.1,1260.0,42.4,211,0,test,0.116,3,0
582,H,299.8,307.1,1112.0,54.4,94,0,test,0.151,0,0
583,M,298.6,308.0,1506.0,41.6,5,0,test,0.063,3,0
584,H,301.6,308.0,1747.0,37.5,221,0,test,0.092,1,0
585,M,295.0,306.6,1508.0,22.2,68,0,test,0.042,1,0
586,M,298.0,307.5,1439.0,23.8,193,0,test,0.104,0,0
587,L,298.7,307.7,1165.0,21.6,190,0,test,0.106,3,0
588,H,296.2,308.4,1581.0,43.8,131,0,test,0.09,2,0
589,M,298.6,308.5,1619.0,26.4,21,0,test,0.123,3,0
590,L,295.8,307.4,1179.0,52.6,237,0,test,0.108,2,0
591,M,299.4,308.5,1704.0,40.3,170,0,test,0.096,0,0
592,M,300.1,307.8,1638.0,37.6,106,0,test,0.063,1,0
593,L,298.5,305.1,1704.0,31.6,213,0,test,0.059,1,0
594,L,294.3,307.5,1605.0,46.2,197,0,test,0.039,0,0
595,L,296.1,309.1,1618.0,32.0,190,0,test,0.006,3,0
596,H,299.1,306.3,1594.0,30.1,41,0,test,0.107,3,0
597,L,298.0,308.1,1656.0,51.9,158,0,test,0.079,2,0
598,H,292.6,309.6,1173.0,43.5,71,1,test,0.694,2,1
599,L,300.5,307.2,1230.0,37.7,19,0,test,0.168,2,0
600,M,298.3,308.0,1368.0,46.4,84,0,test,0.051,2,0
